,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
0,1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False
2,3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False
4,4,Charmander,Fire,,309,39,52,43,60,50,65,1,False
6,6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False
8,6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False
10,8,Wartortle,Water,,405,59,63,80,65,80,58,1,False
12,9,BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,False
14,11,Metapod,Bug,,205,50,20,55,25,25,30,1,False
16,13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False
18,15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False
20,16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False
22,18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False
24,19,Rattata,Normal,,253,30,56,35,25,35,72,1,False
26,21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False
28,23,Ekans,Poison,,288,35,60,44,40,54,55,1,False
30,25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False
32,27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False
34,29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False
36,31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False
38,33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False
40,35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,False
42,37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False
44,39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False
46,41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False
48,43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False
50,45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False
52,47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False
54,49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False
56,51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False
58,53,Persian,Normal,,440,65,70,60,65,65,115,1,False
60,55,Golduck,Water,,500,80,82,78,95,80,85,1,False
62,57,Primeape,Fighting,,455,65,105,60,60,70,95,1,False
64,59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False
66,61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False
68,63,Abra,Psychic,,310,25,20,15,105,55,90,1,False
70,65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False
72,66,Machop,Fighting,,305,70,80,50,35,35,35,1,False
74,68,Machamp,Fighting,,505,90,130,80,65,85,55,1,False
76,70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False
78,72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False
80,74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False
82,76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False
84,78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False
86,80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False
88,81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False
90,83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False
92,85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False
94,87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False
96,89,Muk,Poison,,500,105,105,75,65,100,50,1,False
98,91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False
100,93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False
102,94,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,False
104,96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,False
106,98,Krabby,Water,,325,30,105,90,25,25,50,1,False
108,100,Voltorb,Electric,,330,40,30,50,55,55,100,1,False
110,102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False
112,104,Cubone,Ground,,320,50,50,95,40,50,35,1,False
114,106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False
116,108,Lickitung,Normal,,385,90,55,75,60,75,30,1,False
118,110,Weezing,Poison,,490,65,90,120,85,70,60,1,False
120,112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False
122,114,Tangela,Grass,,435,65,55,115,100,40,60,1,False
124,115,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,False
126,117,Seadra,Water,,440,55,65,95,95,45,85,1,False
128,119,Seaking,Water,,450,80,92,65,65,80,68,1,False
130,121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False
132,123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False
134,125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False
136,127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False
138,128,Tauros,Normal,,490,75,100,95,40,70,110,1,False
140,130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False
142,131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False
144,133,Eevee,Normal,,325,55,55,50,45,65,55,1,False
146,135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False
148,137,Porygon,Normal,,395,65,60,70,85,75,40,1,False
150,139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False
152,141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False
154,142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,False
156,144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True
158,146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True
160,148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False
162,150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True
164,150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True
166,152,Chikorita,Grass,,318,45,49,65,49,65,45,2,False
168,154,Meganium,Grass,,525,80,82,100,83,100,80,2,False
170,156,Quilava,Fire,,405,58,64,58,80,65,80,2,False
172,158,Totodile,Water,,314,50,65,64,44,48,43,2,False
174,160,Feraligatr,Water,,530,85,105,100,79,83,78,2,False
176,162,Furret,Normal,,415,85,76,64,45,55,90,2,False
178,164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False
180,166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False
182,168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False
184,170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False
186,172,Pichu,Electric,,205,20,40,15,35,35,60,2,False
188,174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False
190,176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False
192,178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False
194,180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,False
196,181,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,False
198,183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False
200,185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False
202,187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False
204,189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False
206,191,Sunkern,Grass,,180,30,30,30,30,30,30,2,False
208,193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False
210,195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False
212,197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False
214,199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False
216,201,Unown,Psychic,,336,48,72,48,72,48,48,2,False
218,203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False
220,205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False
222,207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False
224,208,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,False
226,210,Granbull,Fairy,,450,90,120,75,60,60,45,2,False
228,212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False
230,213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False
232,214,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,False
234,216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,False
236,218,Slugma,Fire,,250,40,40,40,70,40,20,2,False
238,220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False
240,222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False
242,224,Octillery,Water,,480,75,105,75,105,75,45,2,False
244,226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False
246,228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,False
248,229,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,False
250,231,Phanpy,Ground,,330,90,60,60,40,40,40,2,False
252,233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False
254,235,Smeargle,Normal,,250,55,20,35,20,45,75,2,False
256,237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,False
258,239,Elekid,Electric,,360,45,63,37,65,55,95,2,False
260,241,Miltank,Normal,,490,95,80,105,40,70,100,2,False
262,243,Raikou,Electric,,580,90,85,75,115,100,115,2,True
264,245,Suicune,Water,,580,100,75,115,90,115,85,2,True
266,247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False
268,248,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,False
270,250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True
272,252,Treecko,Grass,,310,40,45,35,65,55,70,3,False
274,254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False
276,255,Torchic,Fire,,310,45,60,40,70,50,45,3,False
278,257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False
280,258,Mudkip,Water,,310,50,70,50,50,50,40,3,False
282,260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False
284,261,Poochyena,Dark,,220,35,55,35,30,30,35,3,False
286,263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,False
288,265,Wurmple,Bug,,195,45,45,35,20,30,20,3,False
290,267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False
292,269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False
294,271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False
296,273,Seedot,Grass,,220,40,40,50,30,30,30,3,False
298,275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False
300,277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False
302,279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False
304,281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,False
306,282,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,False
308,284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False
310,286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False
312,288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,False
314,290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False
316,292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False
318,294,Loudred,Normal,,360,84,71,43,71,43,48,3,False
