#,Name,Type 1,Type 2,Total,HP
1,Bulbasaur,Grass,Poison,318,45
2,Ivysaur,Grass,Poison,405,60
3,Venusaur,Grass,Poison,525,80
3,VenusaurMega Venusaur,Grass,Poison,625,80
4,Charmander,Fire,,309,39
5,Charmeleon,Fire,,405,58
6,Charizard,Fire,Flying,534,78
6,CharizardMega Charizard X,Fire,Dragon,634,78
6,CharizardMega Charizard Y,Fire,Flying,634,78
7,Squirtle,Water,,314,44
8,Wartortle,Water,,405,59
9,Blastoise,Water,,530,79
9,BlastoiseMega Blastoise,Water,,630,79
10,Caterpie,Bug,,195,45
11,Metapod,Bug,,205,50
12,Butterfree,Bug,Flying,395,60
13,Weedle,Bug,Poison,195,40
14,Kakuna,Bug,Poison,205,45
15,Beedrill,Bug,Poison,395,65
15,BeedrillMega Beedrill,Bug,Poison,495,65
16,Pidgey,Normal,Flying,251,40
17,Pidgeotto,Normal,Flying,349,63
18,Pidgeot,Normal,Flying,479,83
18,PidgeotMega Pidgeot,Normal,Flying,579,83
19,Rattata,Normal,,253,30
20,Raticate,Normal,,413,55
21,Spearow,Normal,Flying,262,40
22,Fearow,Normal,Flying,442,65
23,Ekans,Poison,,288,35
24,Arbok,Poison,,438,60
25,Pikachu,Electric,,320,35
26,Raichu,Electric,,485,60
27,Sandshrew,Ground,,300,50
28,Sandslash,Ground,,450,75
29,Nidoran♀,Poison,,275,55
30,Nidorina,Poison,,365,70
31,Nidoqueen,Poison,Ground,505,90
32,Nidoran♂,Poison,,273,46
33,Nidorino,Poison,,365,61
34,Nidoking,Poison,Ground,505,81
35,Clefairy,Fairy,,323,70
36,Clefable,Fairy,,483,95
37,Vulpix,Fire,,299,38
38,Ninetales,Fire,,505,73
39,Jigglypuff,Normal,Fairy,270,115
40,Wigglytuff,Normal,Fairy,435,140
41,Zubat,Poison,Flying,245,40
42,Golbat,Poison,Flying,455,75
43,Oddish,Grass,Poison,320,45
44,Gloom,Grass,Poison,395,60
45,Vileplume,Grass,Poison,490,75
46,Paras,Bug,Grass,285,35
47,Parasect,Bug,Grass,405,60
48,Venonat,Bug,Poison,305,60
49,Venomoth,Bug,Poison,450,70
50,Diglett,Ground,,265,10
51,Dugtrio,Ground,,405,35
52,Meowth,Normal,,290,40
53,Persian,Normal,,440,65
54,Psyduck,Water,,320,50
55,Golduck,Water,,500,80
56,Mankey,Fighting,,305,40
57,Primeape,Fighting,,455,65
58,Growlithe,Fire,,350,55
59,Arcanine,Fire,,555,90
