Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
49,49,65,65,45,1,False
62,63,80,80,60,1,False
82,83,100,100,80,1,False
100,123,122,120,80,1,False
52,43,60,50,65,1,False
64,58,80,65,80,1,False
84,78,109,85,100,1,False
130,111,130,85,100,1,False
104,78,159,115,100,1,False
48,65,50,64,43,1,False
63,80,65,80,58,1,False
83,100,85,105,78,1,False
103,120,135,115,78,1,False
30,35,20,20,45,1,False
20,55,25,25,30,1,False
45,50,90,80,70,1,False
35,30,20,20,50,1,False
25,50,25,25,35,1,False
90,40,45,80,75,1,False
150,40,15,80,145,1,False
45,40,35,35,56,1,False
60,55,50,50,71,1,False
80,75,70,70,101,1,False
80,80,135,80,121,1,False
56,35,25,35,72,1,False
81,60,50,70,97,1,False
60,30,31,31,70,1,False
90,65,61,61,100,1,False
60,44,40,54,55,1,False
85,69,65,79,80,1,False
55,40,50,50,90,1,False
90,55,90,80,110,1,False
75,85,20,30,40,1,False
100,110,45,55,65,1,False
47,52,40,40,41,1,False
62,67,55,55,56,1,False
92,87,75,85,76,1,False
57,40,40,40,50,1,False
72,57,55,55,65,1,False
102,77,85,75,85,1,False
45,48,60,65,35,1,False
70,73,95,90,60,1,False
41,40,50,65,65,1,False
76,75,81,100,100,1,False
45,20,45,25,20,1,False
70,45,85,50,45,1,False
45,35,30,40,55,1,False
80,70,65,75,90,1,False
50,55,75,65,30,1,False
65,70,85,75,40,1,False
80,85,110,90,50,1,False
70,55,45,55,25,1,False
95,80,60,80,30,1,False
55,50,40,55,45,1,False
65,60,90,75,90,1,False
55,25,35,45,95,1,False
80,50,50,70,120,1,False
45,35,40,40,90,1,False
70,60,65,65,115,1,False
52,48,65,50,55,1,False
82,78,95,80,85,1,False
80,35,35,45,70,1,False
105,60,60,70,95,1,False
70,45,70,50,60,1,False
110,80,100,80,95,1,False
50,40,40,40,90,1,False
65,65,50,50,90,1,False
95,95,70,90,70,1,False
20,15,105,55,90,1,False
35,30,120,70,105,1,False
50,45,135,95,120,1,False
50,65,175,95,150,1,False
80,50,35,35,35,1,False
100,70,50,60,45,1,False
130,80,65,85,55,1,False
75,35,70,30,40,1,False
90,50,85,45,55,1,False
105,65,100,70,70,1,False
40,35,50,100,70,1,False
70,65,80,120,100,1,False
80,100,30,30,20,1,False
95,115,45,45,35,1,False
120,130,55,65,45,1,False
85,55,65,65,90,1,False
100,70,80,80,105,1,False
65,65,40,40,15,1,False
75,110,100,80,30,1,False
75,180,130,80,30,1,False
35,70,95,55,45,1,False
60,95,120,70,70,1,False
65,55,58,62,60,1,False
85,45,35,35,75,1,False
110,70,60,60,100,1,False
45,55,45,70,45,1,False
70,80,70,95,70,1,False
80,50,40,50,25,1,False
105,75,65,100,50,1,False
65,100,45,25,40,1,False
95,180,85,45,70,1,False
35,30,100,35,80,1,False
50,45,115,55,95,1,False
65,60,130,75,110,1,False
65,80,170,95,130,1,False
45,160,30,45,70,1,False
48,45,43,90,42,1,False
73,70,73,115,67,1,False
105,90,25,25,50,1,False
130,115,50,50,75,1,False
30,50,55,55,100,1,False
50,70,80,80,140,1,False
40,80,60,45,40,1,False
